source,source_lat,source_lng,target,target_lat,target_lng,weight
abyan,1451453.433761742,540930.338796394,lahj,1443403.357394038,487346.6774931812,43.637428193262856
abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,43.637428193262856
abyan,1451453.433761742,540930.338796394,al dhale'e,1514911.5982678996,470879.9633936708,43.637428193262856
abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,43.637428193262856
abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,43.637428193262856
aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,39.34271878279842
aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,39.34271878279842
aden,1413414.8996473695,502024.6752111473,al dhale'e,1514911.5982678996,470879.9633936708,39.34271878279842
aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,39.34271878279842
aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,39.34271878279842
al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,42.30431472645721
al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,42.30431472645721
al bayda,1545869.2668154777,562191.4482966167,lahj,1443403.357394038,487346.6774931812,42.30431472645721
al bayda,1545869.2668154777,562191.4482966167,dhamar,1607976.2967569984,434812.9555183367,42.30431472645721
al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,42.30431472645721
al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,34.73078769773119
al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,34.73078769773119
al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,34.73078769773119
al dhale'e,1514911.5982678996,470879.9633936708,abyan,1451453.433761742,540930.338796394,34.73078769773119
al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,34.73078769773119
al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,28.468905208393164
al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,28.468905208393164
al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,28.468905208393164
al hudaydah,1636434.4562545866,279153.2519347584,amran,1731425.0945279438,386679.5361423165,28.468905208393164
al hudaydah,1636434.4562545866,279153.2519347584,amanat al asimah,1696998.714254215,413747.54216314765,28.468905208393164
al jawf,1787696.8583625571,476286.69293194957,marib,1709755.4170365373,535024.7951991099,33.17330567652998
al jawf,1787696.8583625571,476286.69293194957,amran,1731425.0945279438,386679.5361423165,33.17330567652998
al jawf,1787696.8583625571,476286.69293194957,sana'a,1683424.5251799258,444268.5254077898,33.17330567652998
al jawf,1787696.8583625571,476286.69293194957,amanat al asimah,1696998.714254215,413747.54216314765,33.17330567652998
